name,url,uname,followers,image_path
Nene Leakes,http://www.twitter.com/NENELeakes,NENELeakes,1947347,images/NENELeakes.jpg
Brandi Glanville,http://www.twitter.com/BrandiGlanville,BrandiGlanville,790001,images/BrandiGlanville.jpg
Tamra Barney,http://www.twitter.com/TamraBarney,TamraBarney,861017,images/TamraBarney.jpg
Melissa Gorga,http://www.twitter.com/melissagorga,melissagorga,899981,images/melissagorga.jpg
Jacqueline Laurita,http://www.twitter.com/JacLaurita,JacLaurita,828617,images/JacLaurita.jpg
Teresa Guidice,http://twitter.com/Teresa_Giudice,Teresa_Giudice,1073885,images/Teresa_Giudice.jpg
Kandi Burruss,http://www.twitter.com/Kandi,Kandi,1885543,images/Kandi.jpg
Snooki,http://www.twitter.com/snooki,snooki,6170100,images/snooki.jpg
Kendall Jenner,http://www.twitter.com/KendallJenner,KendallJenner,29508870,images/KendallJenner.jpg
Kylie Jenner,http://www.twitter.com/KylieJenner,KylieJenner,34442453,images/KylieJenner.jpg
Kourtney Kardashian,http://www.twitter.com/KourtneyKardash,KourtneyKardash,25052588,images/KourtneyKardash.jpg
Khloe Kardashian,http://www.twitter.com/khloekardashian,khloekardashian,28058734,images/khloekardashian.jpg
Kim Kardashian,http://www.twitter.com/KimKardashian,KimKardashian,65572085,images/KimKardashian.jpg
Kendra Wilkinson,http://twitter.com/KendraWilkinson,KendraWilkinson,2340187,images/KendraWilkinson.jpg
Holly Madison,http://twitter.com/hollymadison,hollymadison,1207406,images/hollymadison.jpg
Paris Hilton,http://www.twitter.com/parishilton,parishilton,16890119,images/parishilton.jpg
Nicole Richie,http://www.twitter.com/nicolerichie,nicolerichie,4503772,images/nicolerichie.jpg
Lauren Conrad,http://www.twitter.com/LaurenConrad,LaurenConrad,3078312,images/LaurenConrad.jpg
Lo Bosworth,http://twitter.com/LoboSworth,LoboSworth,711355,images/LoboSworth.jpg
Stephanie Pratt,http://twitter.com/StephaniePratt,StephaniePratt,814008,images/StephaniePratt.jpg
Audrina Patridge,http://www.twitter.com/AudrinaPatridge,AudrinaPatridge,2074583,images/AudrinaPatridge.jpg
Kat Von D,http://twitter.com/thekatvond,thekatvond,1909983,images/thekatvond.jpg
Wee Man,http://twitter.com/IamWeeman,IamWeeman,274917,images/IamWeeman.jpg
Chris Pontius,http://twitter.com/ChrisPontius,ChrisPontius,11704,images/ChrisPontius.jpg
Shanna Moakler,http://www.twitter.com/ShannaMoakler,ShannaMoakler,127170,images/ShannaMoakler.jpg
Kelly Osbourne,http://twitter.com/KellyOsbourne,KellyOsbourne,3555599,images/KellyOsbourne.jpg
Bethenny Frankel,http://www.twitter.com/bethenny,bethenny,1592252,images/bethenny.jpg
Jeffrey Star,http://twitter.com/jeffreestar,jeffreestar,7715896,images/jeffreestar.jpg
Brittny Gastineau,http://twitter.com/BrittGastineau,BrittGastineau,194738,images/BrittGastineau.jpeg
Ivanka Trump,http://www.twitter.com/IvankaTrump,IvankaTrump,9029337,images/IvankaTrump.jpg
Jill Zarin,http://www.twitter.com/Jillzarin,Jillzarin,520348,images/Jillzarin.jpg
Kris Allen,http://twitter.com/KrisAllen,KrisAllen,235947,images/KrisAllen.jpg
Adam Lambert,http://www.twitter.com/adamlambert,adamlambert,2425198,images/adamlambert.jpg
David Cook,http://twitter.com/theDAVIDCOOK,theDAVIDCOOK,276134,images/theDAVIDCOOK.jpg
David Archleta,http://twitter.com/DAVIDARCHIE,DAVIDARCHIE,1195919,images/DAVIDARCHIE.jpg
Chris Daughtry,http://twitter.com/Chris_daughtry,Chris_daughtry,534902,images/Chris_daughtry.jpg
Taylor Hicks,http://twitter.com/taylorhicks,taylorhicks,57240,images/taylorhicks.png
Simon Cowell,http://twitter.com/simoncowell,simoncowell,11403608,images/simoncowell.jpg
Ricky Gervais,http://www.twitter.com/rickygervais,rickygervais,14398802,images/rickygervais.jpg
Patton Oswalt,http://www.twitter.com/pattonoswalt,pattonoswalt,4649642,images/pattonoswalt.jpg
Howard Stern,http://www.twitter.com/HowardStern,HowardStern,1638945,images/HowardStern.jpeg
Conan O'Brien,https://twitter.com/ConanOBrien,ConanOBrien,28617526,images/ConanOBrien.jpg
Kevin Nealon,http://www.twitter.com/kevin_nealon,kevin_nealon,1366378,images/kevin_nealon.JPG
Kevin Hart,http://www.twitter.com/KevinHart4real,KevinHart4real,36338195,images/KevinHart4real.jpg
Dane Cook,http://www.twitter.com/danecook,danecook,2948361,images/danecook.jpg
Adam Carolla,http://www.twitter.com/adamcarolla,adamcarolla,584386,images/adamcarolla.jpg
George Lopez,http://www.twitter.com/Georgelopez,Georgelopez,1868660,images/Georgelopez.jpg
Russell Brand,http://twitter.com/rustyrockets,rustyrockets,11399473,images/rustyrockets.jpg
Sarah Silverman,http://www.twitter.com/SarahKSilverman,SarahKSilverman,12510959,images/SarahKSilverman.jpg
Joe Rogan,http://www.twitter.com/joerogan,joerogan,6287160,images/joerogan.jpeg
Carrot Top,http://twitter.com/realcarrottop,realcarrottop,64370,images/realcarrottop.jpg
Bob Saget,http://www.twitter.com/bobsaget,bobsaget,2319140,images/bobsaget.jpg
Jamie Kennedy,http://www.twitter.com/jamiekennedy,jamiekennedy,119337,images/jamiekennedy.jpg
Tyler Perry,http://twitter.com/tylerperry,tylerperry,6193615,images/tylerperry.jpeg
John Cleese,http://www.twitter.com/johncleese,johncleese,5777150,images/johncleese.jpeg
Margaret Cho,http://www.twitter.com/margaretcho,margaretcho,478680,images/margaretcho.jpg
Stephen Fry,http://twitter.com/stephenfry,stephenfry,12711956,images/stephenfry.jpg
Bill Maher,http://twitter.com/Billmaher,Billmaher,11058181,images/Billmaher.jpg
Larry the Cable Guy,http://twitter.com/gitrdonelarry,gitrdonelarry,595804,images/gitrdonelarry.jpg
Chelsea Handler,http://twitter.com/chelseahandler,chelseahandler,8073263,images/chelseahandler.jpg
Lisa Lampanelli,http://twitter.com/lisalampanelli,lisalampanelli,488933,images/lisalampanelli.jpg
Jeff Dunham,http://twitter.com/Jeffdunham,Jeffdunham,546720,images/Jeffdunham.jpg
Carlos Mencia,http://twitter.com/Carlosmencia,Carlosmencia,42724,images/Carlosmencia.jpeg
Jim Gaffigan,http://twitter.com/jimgaffigan,jimgaffigan,2955851,images/jimgaffigan.jpg
Katt Williams,http://twitter.com/kattPackAllday,kattPackAllday,198,images/kattPackAllday.jpg
Zach Galifianakis,http://twitter.com/galifianakisz,galifianakisz,3346220,images/galifianakisz.jpeg
Marlon Wayans,http://twitter.com/MarlonWayans,MarlonWayans,2030204,images/MarlonWayans.jpg
Jim Breuer,http://twitter.com/JimBreuer,JimBreuer,151222,images/JimBreuer.jpg
David Alan Grier,http://twitter.com/davidAlanGrier,davidAlanGrier,124489,images/davidAlanGrier.jpg
Tom Green,http://twitter.com/tomgreenlive,tomgreenlive,320065,images/tomgreenlive.jpg
David Spade,http://twitter.com/DavidSpade,DavidSpade,2760107,images/DavidSpade.jpg
Dave Attell,http://twitter.com/attell,attell,398660,images/attell.jpeg
Criss Angel,http://twitter.com/CRISSangel,CRISSangel,894055,images/CRISSangel.jpg
Maria Shriver,http://www.twitter.com/mariashriver,mariashriver,2196197,images/mariashriver.jpeg
Neil Gaiman,http://twitter.com/neilhimself,neilhimself,2806928,images/neilhimself.jpg
Wes Craven,http://www.twitter.com/wescraven,wescraven,222211,images/wescraven.jpg
Heidi Klum,https://twitter.com/heidiklum,heidiklum,5032125,images/heidiklum.jpg
Rachel Zoe,http://www.twitter.com/rzrachelzoe,rzrachelzoe,1939,images/rzrachelzoe.jpg
Cindy Crawford,https://twitter.com/CindyCrawford,CindyCrawford,1488377,images/CindyCrawford.jpg
Brooke Burke,http://www.twitter.com/BrookeBurke,BrookeBurke,2944242,images/BrookeBurke.jpg
Adrianne Curry,http://twitter.com/adriannecurry,adriannecurry,302614,images/adriannecurry.jpg
Charlotte Ronson,http://twitter.com/cjronson,cjronson,43431,images/cjronson.jpg
Jessica Hart,http://twitter.com/1jessicahart,1jessicahart,43929,images/1jessicahart.jpeg
Cory Booker,http://www.twitter.com/CoryBooker,CoryBooker,4524891,images/CoryBooker.jpg
Hillary Clinton,http://twitter.com/ClintonNews,ClintonNews,9,images/ClintonNews.png
Barack Obama,http://www.twitter.com/BarackObama,BarackObama,119917224,images/BarackObama.jpg
Arnold Schwarzenegger,http://twitter.com/schwarzenegger,schwarzenegger,4647177,images/schwarzenegger.jpg
Al Gore,http://twitter.com/algore,algore,3046683,images/algore.jpg
Karl Rove,http://twitter.com/KarlRove,KarlRove,660840,images/KarlRove.jpg
Boris Johnson,http://twitter.com/MayorOfLondon,MayorOfLondon,3270695,images/MayorOfLondon.jpg
Al Franken,http://twitter.com/alfranken,alfranken,812898,images/alfranken.jpg
Mike Huckabee,http://twitter.com/GovMikeHuckabee,GovMikeHuckabee,1666873,images/GovMikeHuckabee.jpg
Mike Bloomberg,http://twitter.com/mikeBloomberg,mikeBloomberg,2750096,images/mikeBloomberg.jpg
